distancia_final,Place of interest,Place address,Type of place,BiciMAD station,Station location
331.7381312736928,Oratorio de la Hospitalidad de Nuestra Señora de Lourdes,CALLE FORTUNY 21,Templos católicos,198 - Rubén Darío,Glorieta Rubén Darío 2
2002.557376969417,Parroquia Ascensión del Señor,CALLE VIA CARPETANA 105,Templos católicos,224 - Caramuel,Calle Caramuel nº 51
856.7687955785041,Parroquia Asunción de Nuestra Señora. Calle Gabriel y Galán,CALLE GABRIEL Y GALAN 17,Templos católicos,251 - Corazón de María,Calle Santa Hortensia nº 31
6060.651353531536,Parroquia Asunción de Nuestra Señora. Calle Pérez de Victoria,CALLE PEREZ DE VICTORIA 9,Templos católicos,261 - Facultad Derecho,Avenida Complutense nº 23
3215.609247792036,Parroquia Bautismo del Señor,CALLE GAVILANES 11,Templos católicos,261 - Facultad Derecho,Avenida Complutense nº 23
139.11076624615626,Parroquia Beata María Ana de Jesús,CALLE GUILLERMO DE OSMA 10,Templos católicos,165 - Entrada Matadero,Paseo de la Chopera nº 14
2111.5997663249254,Parroquia Buen Pastor,AVENIDA PARQUE DE PALOMERAS BAJAS 22,Templos católicos,227 - Concordia,Calle Arroyo del Olivar nº 6
7826.942042948933,Parroquia Castrense Santa María de la Dehesa,AVENIDA ARQUEROS 19,Templos católicos,224 - Caramuel,Calle Caramuel nº 51
173.42251744239925,Parroquia Concepción de Nuestra Señora,CALLE GOYA 26,Templos católicos,90 - General Pardiñas,Calle Goya nº 18
2224.484621697222,Parroquia Cristo Resucitado,CALLE CEBREROS 56,Templos católicos,224 - Caramuel,Calle Caramuel nº 51
502.32045142726656,Parroquia Cristo Rey de Usera,CALLE AMOR HERMOSO 15,Templos católicos,213 - Glorieta de Cádiz,Calle Antonio López nº 129
1762.8255264846016,Parroquia Cristo Sacerdote,CALLE LOPEZ DE ARANDA 52,Templos católicos,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
3698.32822923545,Parroquia Cristo Salvador,CALLE CARACOLI 1,Templos católicos,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
1241.606352429216,Parroquia Cristo de la Paz,CALLE PORTALEGRE 8,Templos católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
2172.250600821675,Parroquia Crucifixión del Señor,CALLE CUART DE POBLET 11,Templos católicos,224 - Caramuel,Calle Caramuel nº 51
2993.243126299468,Parroquia Divino Salvador,AVENIDA SANTUARIO DE VALVERDE 37,Templos católicos,217 - Pedro Rico,Calle Pedro Rico nº 4
225.22220131375235,Parroquia Dulce Nombre de María,CALLE SAN FLORENCIO 1,Templos católicos,225 - Doctor Lozano,Calle Sierra Toledana nº 33
35.568565778089315,Parroquia El Salvador y San Nicolás,CALLE ATOCHA 58,Templos católicos,41 - Antón Martín,Calle Atocha nº 54
1021.0485874784388,Parroquia Encarnación del Señor,CALLE HERMANOS GARCIA NOBLEJAS 49,Templos católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
3474.2310155723544,Parroquia Epifanía del Señor,CALLE NUESTRA SEÑORA DE LA LUZ 64,Templos católicos,224 - Caramuel,Calle Caramuel nº 51
206.6382447593388,Parroquia Espíritu Santo,CALLE RICARDO ORTIZ 1,Templos católicos,188 - Puente de Ventas,Avenida de Daroca nº 2
210.11966456982893,Parroquia Espíritu Santo y Nuestra Señora de la Araucana,CALLE PUERTO RICO 29,Templos católicos,160 - Colombia,Calle Colombia nº 7
204.24128782245202,Parroquia Hispanoamericana de la Merced,CALLE EDGAR NEVILLE 23,Templos católicos,151 - Orense 12,Calle Orense nº 12
9383.016661212974,Parroquia Inmaculada Concepción (El Pardo),CALLE MANUEL ALONSO 2,Templos católicos,261 - Facultad Derecho,Avenida Complutense nº 23
153.42737682907133,Parroquia Inmaculado Corazón de María,CALLE FERRAZ 74,Templos católicos,113 - Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
1735.931751168017,Parroquia Jesús Obrero,CALLE CASTILLO DE UCLES 26,Templos católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
2698.271846385724,Parroquia Jesús de Nazaret,CALLE CUEVAS DEL ALMANZORA 18,Templos católicos,254 - Pío XII,Avenida Pío XII nº 3
4336.392712748051,Parroquia Jesús y María,CALLE MAQUEDA 129 y 131,Templos católicos,224 - Caramuel,Calle Caramuel nº 51
1743.1176304424057,Parroquia La Cena del Señor,CALLE ANTONIO MACHADO 24,Templos católicos,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
98.27715303551201,Parroquia Los Doce Apóstoles,CALLE VELAZQUEZ 88,Templos católicos,88 - Embajada de Italia,Calle Velázquez nº 75
1432.5829845123149,Parroquia Madre del Buen Pastor,CALLE SAN MARIO 81,Templos católicos,235 - Embajadores 191,Calle Sodio nº 1B
84.00933592815682,Parroquia María Auxiliadora,RONDA ATOCHA 25,Templos católicos,51 - Ronda de Atocha,Ronda de Atocha nº 2
